x,y
-4.0,1.4
-1.0,1.4
-1.0,1.0
-0.8,1.4
-1.0,1.4
-1.0,1.0
-0.8000000000000003,1.3999999999999995
-0.8000000000000007,1.3999999999999995
-0.8000000000000007,1.0
-0.640000000000001,1.3199999999999994
-0.640000000000001,1.3199999999999994
-0.640000000000001,1.0
-0.5120000000000009,1.2560000000000002
-0.5120000000000009,1.2560000000000002
-0.5120000000000009,1.0
-0.40960000000000063,1.2048000000000005
-0.40960000000000063,1.2048000000000005
-0.40960000000000063,1.0
-0.32768000000000086,1.1638399999999995
-0.32768000000000086,1.1638399999999995
-0.32768000000000086,1.0
-0.2621440000000006,1.1310720000000005
-0.2621440000000006,1.1310720000000005
-0.2621440000000006,1.0
-0.2097152000000002,1.1048576000000008
-0.2097152000000002,1.1048576000000008
-0.2097152000000002,1.0
-0.16777215999999973,1.083886080000001
-0.16777215999999973,1.083886080000001
-0.16777215999999973,1.0
-0.13421772799999943,1.0671088640000006
-0.13421772799999943,1.0671088640000006
-0.13421772799999943,1.0
-0.10737418239999963,1.0536870911999996
-0.10737418239999963,1.0536870911999996
-0.10737418239999963,1.0
-0.08589934592000015,1.042949672959999
-0.08589934592000015,1.042949672959999
-0.08589934592000015,1.0
-0.06871947673600065,1.034359738367999
-0.06871947673600065,1.034359738367999
-0.06871947673600065,1.0
-0.05497558138880043,1.0274877906944004
-0.05497558138880043,1.0274877906944004
-0.05497558138880043,1.0
-0.0439804651110407,1.0219902325555195
-0.0439804651110407,1.0219902325555195
-0.0439804651110407,1.0
-0.035184372088832294,1.0175921860444168
-0.035184372088832294,1.0175921860444168
-0.035184372088832294,1.0
-0.028147497671065835,1.014073748835533
-0.028147497671065835,1.014073748835533
-0.028147497671065835,1.0
-0.022517998136852402,1.0112589990684269
-0.022517998136852402,1.0112589990684269
-0.022517998136852402,1.0
-0.01801439850948139,1.009007199254742
-0.01801439850948139,1.009007199254742
-0.01801439850948139,1.0
-0.014411518807585288,1.0072057594037922
-0.014411518807585288,1.0072057594037922
-0.014411518807585288,1.0
-0.011529215046068853,1.0057646075230329
-0.011529215046068853,1.0057646075230329
-0.011529215046068853,1.0
-0.009223372036855526,1.0046116860184267
-0.009223372036855526,1.0046116860184267
-0.009223372036855526,1.0
-0.007378697629484954,1.0036893488147411
-0.007378697629484954,1.0036893488147411
-0.007378697629484954,1.0
-0.005902958103587874,1.0029514790517942
-0.005902958103587874,1.0029514790517942
-0.005902958103587874,1.0
-0.004722366482869944,1.0023611832414359
-0.004722366482869944,1.0023611832414359
-0.004722366482869944,1.0
-0.003777893186295511,1.0018889465931489
-0.003777893186295511,1.0018889465931489
-0.003777893186295511,1.0
-0.0030223145490362313,1.0015111572745186
-0.0030223145490362313,1.0015111572745186
-0.0030223145490362313,1.0
-0.0024178516392288074,1.0012089258196148
-0.0024178516392288074,1.0012089258196148
-0.0024178516392288074,1.0
-0.001934281311382513,1.0009671406556926
-0.001934281311382513,1.0009671406556926
-0.001934281311382513,1.0
-0.0015474250491060992,1.0007737125245528
-0.0015474250491060992,1.0007737125245528
-0.0015474250491060992,1.0
-0.0012379400392843465,1.0006189700196435
-0.0012379400392843465,1.0006189700196435
-0.0012379400392843465,1.0
-0.0009903520314273884,1.000495176015714
-0.0009903520314273884,1.000495176015714
-0.0009903520314273884,1.0
-0.0007922816251419995,1.0003961408125708
-0.0007922816251419995,1.0003961408125708
-0.0007922816251419995,1.0
-0.0006338253001136884,1.0003169126500566
-0.0006338253001136884,1.0003169126500566
-0.0006338253001136884,1.0
-0.0005070602400905067,1.0002535301200464
-0.0005070602400905067,1.0002535301200464
-0.0005070602400905067,1.0
-0.0004056481920722277,1.0002028240960366
-0.0004056481920722277,1.0002028240960366
-0.0004056481920722277,1.0
-0.00032451855365778215,1.000162259276829
-0.00032451855365778215,1.000162259276829
-0.00032451855365778215,1.0
-0.0002596148429261369,1.0001298074214633
-0.0002596148429261369,1.0001298074214633
-0.0002596148429261369,1.0
-0.00020769187434099834,1.0001038459371703
-0.00020769187434099834,1.0001038459371703
-0.00020769187434099834,1.0
-0.00016615349947324276,1.0000830767497355
-0.00016615349947324276,1.0000830767497355
-0.00016615349947324276,1.0
-0.00013292279957832775,1.0000664613997898
-0.00013292279957832775,1.0000664613997898
-0.00013292279957832775,1.0
-0.00010633823966221811,1.0000531691198322
-0.00010633823966221811,1.0000531691198322
-0.00010633823966221811,1.0
-8.507059173012976e-05,1.0000425352958642
-8.507059173012976e-05,1.0000425352958642
-8.507059173012976e-05,1.0
-6.805647338392617e-05,1.0000340282366924
-6.805647338392617e-05,1.0000340282366924
-6.805647338392617e-05,1.0
-5.444517870678567e-05,1.0000272225893543
-5.444517870678567e-05,1.0000272225893543
-5.444517870678567e-05,1.0
-4.355614296569499e-05,1.0000217780714822
-4.355614296569499e-05,1.0000217780714822
-4.355614296569499e-05,1.0
-3.484491437255599e-05,1.0000174224571863
-3.484491437255599e-05,1.0000174224571863
-3.484491437255599e-05,1.0
-2.7875931498222428e-05,1.0000139379657487
-2.7875931498222428e-05,1.0000139379657487
-2.7875931498222428e-05,1.0
-2.2300745198045036e-05,1.0000111503726004
-2.2300745198045036e-05,1.0000111503726004
-2.2300745198045036e-05,1.0
-1.7840596158169575e-05,1.0000089202980798
-1.7840596158169575e-05,1.0000089202980798
-1.7840596158169575e-05,1.0
-1.427247692653566e-05,1.0000071362384633
